DraftID,Draft_Year,Draft_Round,Draft_Number
10000,1985,1,23
10001,1999,2,39
10002,2000,2,32
10003,2016,2,46
10004,2009,2,52
10005,2007,1,26
10006,2014,1,4
10007,2007,2,49
10008,Undrafted,Undrafted,Undrafted
10009,2018,1,23
10010,Undrafted,Undrafted,Undrafted
10011,1994,1,17
10012,Undrafted,Undrafted,Undrafted
10013,Undrafted,Undrafted,Undrafted
10014,2016,2,58
10015,1993,1,19
10016,2007,1,11
10017,Undrafted,Undrafted,Undrafted
10018,1992,1,10
10019,Undrafted,Undrafted,Undrafted
10020,2006,1,3
10021,2019,2,42
10022,1997,1,8
10023,1993,2,42
10024,Undrafted,Undrafted,Undrafted
10025,2014,1,15
10026,Undrafted,Undrafted,Undrafted
10027,Undrafted,Undrafted,Undrafted
10028,1998,1,25
10029,2007,1,3
10030,2004,1,15
10031,2007,1,14
10032,2010,1,8
10033,Undrafted,Undrafted,Undrafted
10034,1995,1,16
10035,Undrafted,Undrafted,Undrafted
10036,2007,1,29
10037,2011,1,12
10038,2017,2,54
10039,Undrafted,Undrafted,Undrafted
10040,1999,1,12
10041,2019,2,39
10042,2013,2,32
10043,2005,2,60
10044,Undrafted,Undrafted,Undrafted
10045,Undrafted,Undrafted,Undrafted
10046,Undrafted,Undrafted,Undrafted
10047,2013,1,5
10048,Undrafted,Undrafted,Undrafted
10049,Undrafted,Undrafted,Undrafted
10050,Undrafted,Undrafted,Undrafted
10051,2006,2,45
10052,Undrafted,Undrafted,Undrafted
10053,2008,1,20
10054,Undrafted,Undrafted,Undrafted
10055,2018,2,50
10056,1993,1,11
10057,Undrafted,Undrafted,Undrafted
10058,2013,2,31
10059,1996,1,1
10060,Undrafted,Undrafted,Undrafted
10061,Undrafted,Undrafted,Undrafted
10062,1992,1,2
10063,2001,2,50
10064,1981,1,21
10065,2001,2,56
10066,Undrafted,Undrafted,Undrafted
10067,1997,2,47
10068,1996,2,49
10069,2002,1,9
10070,Undrafted,Undrafted,Undrafted
10071,Undrafted,Undrafted,Undrafted
10072,2005,2,56
10073,2004,2,30
10074,1998,2,46
10075,2005,2,49
10076,Undrafted,Undrafted,Undrafted
10077,Undrafted,Undrafted,Undrafted
10078,Undrafted,Undrafted,Undrafted
10079,2012,1,9
10080,2004,2,35
10081,2004,1,9
10082,Undrafted,Undrafted,Undrafted
10083,1999,1,8
10084,Undrafted,Undrafted,Undrafted
10085,2013,1,26
10086,2006,1,1
10087,2003,2,58
10088,1999,1,24
10089,Undrafted,Undrafted,Undrafted
10090,2005,1,1
10091,2005,1,10
10092,1995,2,34
10093,Undrafted,Undrafted,Undrafted
10094,2011,2,46
10095,2015,2,44
10096,1988,2,28
10097,2012,1,19
10098,Undrafted,Undrafted,Undrafted
10099,2014,1,1
10100,2004,1,11
10101,Undrafted,Undrafted,Undrafted
10102,2010,2,38
10103,1993,1,3
10104,2018,1,24
10105,Undrafted,Undrafted,Undrafted
10106,1998,2,30
10107,1998,1,4
10108,2016,1,23
10109,1991,1,15
10110,2013,1,1
10111,1986,3,66
10112,2015,2,34
10113,Undrafted,Undrafted,Undrafted
10114,2012,1,1
10115,1994,2,52
10116,Undrafted,Undrafted,Undrafted
10117,1997,2,39
10118,1988,3,53
10119,1994,2,39
10120,Undrafted,Undrafted,Undrafted
10121,1997,1,21
10122,1992,1,15
10123,2008,1,14
10124,Undrafted,Undrafted,Undrafted
10125,Undrafted,Undrafted,Undrafted
10126,1983,1,8
10127,Undrafted,Undrafted,Undrafted
10128,1996,1,6
10129,2005,1,15
10130,Undrafted,Undrafted,Undrafted
10131,Undrafted,Undrafted,Undrafted
10132,2004,2,36
10133,1997,1,4
10134,1990,2,45
10135,Undrafted,Undrafted,Undrafted
10136,1994,2,29
10137,1995,1,2
10138,2001,2,47
10139,Undrafted,Undrafted,Undrafted
10140,2017,1,25
10141,2013,1,29
10142,Undrafted,Undrafted,Undrafted
10143,1987,1,2
10144,2010,2,34
10145,2012,1,27
10146,Undrafted,Undrafted,Undrafted
10147,2007,1,27
10148,Undrafted,Undrafted,Undrafted
10149,Undrafted,Undrafted,Undrafted
10150,1986,1,24
